survey_id,grasslandTransect,Date,observer,dataRecorder,suctionSetting,observedSoilMoisture,comment,kfs worksheet relationship?,K?,A?,C1?,Van Genutchren results?
NAT01_01_15-10-29,NAT01,10/29/2015,TR,"Devyn Friedfel, TR",1,NA,NA,,,,,
NAT01_02_15-10-29,NAT01,10/29/2015,TR,"Devyn Friedfel, TR",1,NA,NA,,,,,
NAT01_03_15-10-29,NAT01,10/29/2015,TR,"Devyn Friedfel, TR",1,NA,NA,,,,,
NAT01_04_15-10-29,NAT01,10/29/2015,TR,"Devyn Friedfel, TR",1,NA,NA,,,,,
NAT01_06_15-10-29,NAT01,10/29/2015,TR,"Devyn Friedfel, TR",1,NA,NA,,,,,
HAR01_01_15-11-17,HAR01,11/17/2015,volunteer Wendy Herniman,"Devyn Friedfel, volunteer Wendy Herniman",1,NA,NA,,,,,
HAR01_02_15-11-17,HAR01,11/17/2015,volunteer Wendy Herniman,"Devyn Friedfel, volunteer Wendy Herniman",1,NA,NA,,,,,
HAR01_03_15-11-17,HAR01,11/17/2015,volunteer Wendy Herniman,"Devyn Friedfel, volunteer Wendy Herniman",1,NA,NA,,,,,
HAR01_04_15-11-17,HAR01,11/17/2015,volunteer Wendy Herniman,"Devyn Friedfel, volunteer Wendy Herniman",1,NA,NA,,,,,
HAR01_05_15-11-17,HAR01,11/17/2015,volunteer Wendy Herniman,"Devyn Friedfel, volunteer Wendy Herniman",1,NA,NA,,,,,
MED01_01_15-12-15,MED01,12/15/2015,volunteer Wendy Herniman and Michael Gillogly,"Devyn Friedfel, volunteer Wendy Herniman and Michael Gillogly",2,NA,NA,,,,,
MED01_02_15-12-15,MED01,12/15/2015,volunteer Wendy Herniman and Michael Gillogly,"Devyn Friedfel, volunteer Wendy Herniman and Michael Gillogly",2,NA,NA,,,,,
MED01_03_15-12-15,MED01,12/15/2015,volunteer Wendy Herniman and Michael Gillogly,"Devyn Friedfel, volunteer Wendy Herniman and Michael Gillogly",2,NA,NA,,,,,
MED01_04_15-12-15,MED01,12/15/2015,volunteer Wendy Herniman and Michael Gillogly,"Devyn Friedfel, volunteer Wendy Herniman and Michael Gillogly",2,NA,NA,,,,,
MED01_05_15-12-15,MED01,12/15/2015,volunteer Wendy Herniman and Michael Gillogly,"Devyn Friedfel, volunteer Wendy Herniman and Michael Gillogly",2,NA,NA,,,,,
MIX01_01_16-02-05,MIX01,2/5/2016,Michael Gillogly and TR,"Devyn Friedfel, Michael Gillogly and TR",1,NA,NA,,,,,
MIX01_02_16-02-05,MIX01,2/5/2016,Michael Gillogly and TR,"Devyn Friedfel, Michael Gillogly and TR",1,NA,NA,,,,,
MIX01_03_16-02-05,MIX01,2/5/2016,Michael Gillogly and TR,"Devyn Friedfel, Michael Gillogly and TR",1,NA,NA,,,,,
MIX01_04_16-02-05,MIX01,2/5/2016,Michael Gillogly and TR,"Devyn Friedfel, Michael Gillogly and TR",1,NA,NA,,,,,
MIX01_05_16-02-05,MIX01,2/5/2016,Michael Gillogly and TR,"Devyn Friedfel, Michael Gillogly and TR",1,NA,NA,,,,,
NAT02 _01_16-02-13,NAT02,2/13/2016,Michael Gillogly and WT and SB,"Devyn Friedfel, Michael Gillogly and WT and SB",2,NA,NA,,,,,
NAT02 _02_16-02-13,NAT02,2/13/2016,Michael Gillogly and WT and SB,"Devyn Friedfel, Michael Gillogly and WT and SB",1,NA,NA,,,,,
NAT02 _03_16-02-13,NAT02,2/13/2016,Michael Gillogly and WT and SB,"Devyn Friedfel, Michael Gillogly and WT and SB",1,NA,NA,,,,,
NAT02 _04_16-02-13,NAT02,2/13/2016,Michael Gillogly and WT and SB,"Devyn Friedfel, Michael Gillogly and WT and SB",2,NA,NA,,,,,
NAT02 _05_16-02-13,NAT02,2/13/2016,Michael Gillogly and WT and SB,"Devyn Friedfel, Michael Gillogly and WT and SB",1,NA,check suction setting on data sheet,,,,,
MED02_01_16-02-26,MED02,2/26/2016,Michael Gillogly and TR,"Devyn Friedfel, Michael Gillogly and TR",1,NA,NA,,,,,
MED02_02_16-02-26,MED02,2/26/2016,Michael Gillogly and TR,"Devyn Friedfel, Michael Gillogly and TR",1,NA,NA,,,,,
MED02_03_16-02-26,MED02,2/26/2016,Michael Gillogly and TR,"Devyn Friedfel, Michael Gillogly and TR",1,NA,NA,,,,,
MED02_04_16-02-26,MED02,2/26/2016,Michael Gillogly and TR,"Devyn Friedfel, Michael Gillogly and TR",1,NA,NA,,,,,
MED02_05_16-02-26,MED02,2/26/2016,Michael Gillogly and TR,"Devyn Friedfel, Michael Gillogly and TR",1,NA,NA,,,,,
MIX03_01_16-04-01,MIX03,4/1/2016,EA and volunteer Wendy Herniman and Michael Gillogly,"Devyn Friedfel, EA and volunteer Wendy Herniman and Michael Gillogly",1,NA,NA,,,,,
MIX03_02_16-04-01,MIX03,4/1/2016,EA and volunteer Wendy Herniman and Michael Gillogly,"Devyn Friedfel, EA and volunteer Wendy Herniman and Michael Gillogly",2,NA,NA,,,,,
MIX03_03_16-04-01,MIX03,4/1/2016,EA and volunteer Wendy Herniman and Michael Gillogly,"Devyn Friedfel, EA and volunteer Wendy Herniman and Michael Gillogly",2,NA,NA,,,,,
MIX03_04_16-04-01,MIX03,4/1/2016,EA and volunteer Wendy Herniman and Michael Gillogly,"Devyn Friedfel, EA and volunteer Wendy Herniman and Michael Gillogly",2,NA,NA,,,,,
